1	1493	1146	92.766	Cytobacillus firmus strain NBRC 15306 16S ribosomal RNA, partial sequence	Cytobacillus firmus
1	1500	1132	92.400	Cytobacillus firmus strain IAM 12464 16S ribosomal RNA, partial sequence	Cytobacillus firmus
1	1448	1099	92.472	Cytobacillus firmus strain NCIMB 9366 16S ribosomal RNA, partial sequence	Cytobacillus firmus
1	1532	1056	90.274	Cytobacillus formosensis strain CC-LY275 16S ribosomal RNA, partial sequence	Cytobacillus formosensis
1	1532	1054	90.209	Bacillus massilionigeriensis strain Marseille-P2384 16S ribosomal RNA, partial sequence	Bacillus massilionigeriensis
1	1530	1054	90.261	Mesobacillus subterraneus strain COOI3B 16S ribosomal RNA, partial sequence	Mesobacillus subterraneus
1	1532	1050	90.144	Bacillus mediterraneensis strain Marseille-P2366 16S ribosomal RNA, partial sequence	Bacillus mediterraneensis
1	1535	1048	90.098	Bacillus massiliigabonensis strain Marseille-P2639 16S ribosomal RNA, partial sequence	Bacillus massiliigabonensis
1	1534	1047	90.091	Lederbergia citrisecundus strain FJAT-49732 16S ribosomal RNA, partial sequence	Lederbergia citrisecundus
1	1450	1046	90.828	Cytobacillus firmus strain JCM2512 16S ribosomal RNA, partial sequence	Cytobacillus firmus
1	1526	1044	90.105	Niallia oryzisoli strain 1DS3-10 16S ribosomal RNA, partial sequence	Niallia oryzisoli
1	1410	1043	91.986	Cytobacillus oceanisediminis strain H2 16S ribosomal RNA, partial sequence	Cytobacillus oceanisediminis
1	1528	1040	89.987	Niallia nealsonii strain DSM 15077 16S ribosomal RNA, partial sequence	Niallia nealsonii
1	1528	1040	89.987	Mesobacillus foraminis strain CV53 16S ribosomal RNA, partial sequence	Mesobacillus foraminis
1	1534	1037	89.831	Mesobacillus maritimus strain KS16-9 16S ribosomal RNA, partial sequence	Mesobacillus maritimus
1	1533	1037	89.824	Mesobacillus harenae strain Y40 16S ribosomal RNA, complete sequence	Mesobacillus harenae
1	1530	1031	89.804	Lederbergia lenta strain NCIMB 8773 16S ribosomal RNA, partial sequence	Lederbergia lenta
1	1537	1029	89.655	Falsibacillus albus strain GY 10110 16S ribosomal RNA, partial sequence	Falsibacillus albus
1	1492	1029	90.282	Bacillus dakarensis strain Marseille-P3515 16S ribosomal RNA, partial sequence	Bacillus dakarensis
1	1478	1029	90.528	Cytobacillus depressus strain BZ1 16S ribosomal RNA, partial sequence	Cytobacillus depressus
1	1513	1028	89.954	Mesobacillus jeotgali strain YKJ-10 16S ribosomal RNA, partial sequence	Mesobacillus jeotgali
1	1513	1026	89.888	Neobacillus pocheonensis strain Gsoil 420 16S ribosomal RNA, partial sequence	Neobacillus pocheonensis
1	1508	1026	89.987	Mesobacillus campisalis strain SA2-6 16S ribosomal RNA, partial sequence	Mesobacillus campisalis
1	1516	1024	89.842	Margalitia shackletonii strain LMG 18435 16S ribosomal RNA, partial sequence	Margalitia shackletonii
1	1533	1024	89.628	Cytobacillus eiseniae strain A1-2 16S ribosomal RNA, partial sequence	Cytobacillus eiseniae
1	1506	1023	89.907	Niallia circulans strain ATCC 4513 16S ribosomal RNA, partial sequence	Niallia circulans
1	1491	1022	90.141	Robertmurraya massiliosenegalensis strain JC6 16S ribosomal RNA, partial sequence	Robertmurraya massiliosenegalensis
1	1537	1022	89.460	Bacillus acidicola strain 105-2 16S ribosomal RNA, partial sequence	Bacillus acidicola
1	1533	1021	89.498	Mesobacillus fermenti strain Bf-1 16S ribosomal RNA, partial sequence	Mesobacillus fermenti
1	1538	1020	89.467	Bacillus tepidiphilus strain SYSU G01002 16S ribosomal RNA, partial sequence	Bacillus tepidiphilus
1	1535	1019	89.511	Cytobacillus solani strain 5L6 16S ribosomal RNA, partial sequence	Cytobacillus solani
1	1532	1018	89.426	Bacillus massiliglaciei strain Marseille-P2600 16S ribosomal RNA, partial sequence	Bacillus massiliglaciei
1	1523	1018	89.626	Bacillus niameyensis strain SIT3 16S ribosomal RNA, partial sequence	Bacillus niameyensis
1	1491	1018	90.074	Mesobacillus thioparans strain BMP-1 16S ribosomal RNA, partial sequence	Mesobacillus thioparans
1	1516	1018	89.710	Mesobacillus boroniphilus strain T-15Z 16S ribosomal RNA, partial sequence	Mesobacillus boroniphilus
1	1537	1017	89.395	Priestia koreensis strain BR030 16S ribosomal RNA, partial sequence	Priestia koreensis
1	1529	1016	89.470	Priestia flexa strain IFO15715 16S ribosomal RNA, partial sequence	Priestia flexa
1	1528	1015	89.463	Mesobacillus rigiliprofundi strain 1MBB1 16S ribosomal RNA, partial sequence	Mesobacillus rigiliprofundi
1	1531	1014	89.223	Pseudoneobacillus rhizosphaerae strain JJ-79 16S ribosomal RNA, partial sequence	Pseudoneobacillus rhizosphaerae
1	1441	1013	90.770	Cytobacillus purgationiresistens strain DS22 16S ribosomal RNA, partial sequence	Cytobacillus purgationiresistens
1	1537	1012	89.265	Heyndrickxia oleronia strain ATCC 700005 16S ribosomal RNA, partial sequence	Heyndrickxia oleronia
1	1475	1011	90.169	Mesobacillus persicus strain B48 16S ribosomal RNA, partial sequence	Mesobacillus persicus
1	1492	1011	89.879	Niallia circulans strain NBRC 13626 16S ribosomal RNA, partial sequence	Niallia circulans
1	1537	1007	89.200	Bacillus phocaeensis strain SIT16 16S ribosomal RNA, partial sequence	Bacillus phocaeensis
1	1505	1007	89.568	Peribacillus kribbensis strain BT080 16S ribosomal RNA, partial sequence	Peribacillus kribbensis
1	1492	1006	89.745	Mesobacillus zeae strain JJ-247 16S ribosomal RNA, partial sequence	Mesobacillus zeae
1	1408	1005	91.122	Mesobacillus aurantius strain JC1013 16S ribosomal RNA, partial sequence	Mesobacillus aurantius
1	1524	1005	89.239	Neobacillus niacini strain IFO15566 16S ribosomal RNA, partial sequence	Neobacillus niacini
1	1519	1004	89.401	Bacillus methanolicus strain NCIMB 13113 16S ribosomal RNA, partial sequence	Bacillus methanolicus
1	1506	1002	89.509	Lederbergia lenta strain IAM 12466 16S ribosomal RNA, partial sequence	Lederbergia lenta
2	1482	1385	97.908	Cytobacillus firmus strain NBRC 15306 16S ribosomal RNA, partial sequence	Cytobacillus firmus
2	1491	1377	97.653	Cytobacillus firmus strain IAM 12464 16S ribosomal RNA, partial sequence	Cytobacillus firmus
2	1441	1317	97.294	Cytobacillus firmus strain NCIMB 9366 16S ribosomal RNA, partial sequence	Cytobacillus firmus
2	1521	1305	95.464	Bacillus massiliigabonensis strain Marseille-P2639 16S ribosomal RNA, partial sequence	Bacillus massiliigabonensis
2	1520	1288	95.132	Mesobacillus subterraneus strain COOI3B 16S ribosomal RNA, partial sequence	Mesobacillus subterraneus
2	1523	1283	94.944	Mesobacillus harenae strain Y40 16S ribosomal RNA, complete sequence	Mesobacillus harenae
2	1438	1283	96.036	Cytobacillus firmus strain JCM2512 16S ribosomal RNA, partial sequence	Cytobacillus firmus
2	1514	1281	95.046	Niallia oryzisoli strain 1DS3-10 16S ribosomal RNA, partial sequence	Niallia oryzisoli
2	1522	1281	94.941	Cytobacillus formosensis strain CC-LY275 16S ribosomal RNA, partial sequence	Cytobacillus formosensis
2	1517	1279	94.990	Mesobacillus foraminis strain CV53 16S ribosomal RNA, partial sequence	Mesobacillus foraminis
2	1522	1278	94.875	Lederbergia citrisecundus strain FJAT-49732 16S ribosomal RNA, partial sequence	Lederbergia citrisecundus
2	1503	1278	95.210	Margalitia shackletonii strain LMG 18435 16S ribosomal RNA, partial sequence	Margalitia shackletonii
2	1518	1277	94.928	Lederbergia lenta strain NCIMB 8773 16S ribosomal RNA, partial sequence	Lederbergia lenta
2	1520	1276	94.868	Cytobacillus solani strain 5L6 16S ribosomal RNA, partial sequence	Cytobacillus solani
2	1521	1276	94.806	Bacillus massilionigeriensis strain Marseille-P2384 16S ribosomal RNA, partial sequence	Bacillus massilionigeriensis
2	1520	1275	94.803	Bacillus mediterraneensis strain Marseille-P2366 16S ribosomal RNA, partial sequence	Bacillus mediterraneensis
2	1524	1274	94.751	Falsibacillus albus strain GY 10110 16S ribosomal RNA, partial sequence	Falsibacillus albus
2	1526	1273	94.692	Bacillus acidicola strain 105-2 16S ribosomal RNA, partial sequence	Bacillus acidicola
2	1479	1272	95.470	Bacillus dakarensis strain Marseille-P3515 16S ribosomal RNA, partial sequence	Bacillus dakarensis
2	1522	1270	94.678	Mesobacillus maritimus strain KS16-9 16S ribosomal RNA, partial sequence	Mesobacillus maritimus
2	1400	1270	97.071	Cytobacillus oceanisediminis strain H2 16S ribosomal RNA, partial sequence	Cytobacillus oceanisediminis
2	1521	1270	94.740	Cytobacillus eiseniae strain A1-2 16S ribosomal RNA, partial sequence	Cytobacillus eiseniae
2	1524	1265	94.554	Priestia koreensis strain BR030 16S ribosomal RNA, partial sequence	Priestia koreensis
2	1518	1264	94.664	Niallia nealsonii strain DSM 15077 16S ribosomal RNA, partial sequence	Niallia nealsonii
