f82207b7-250a-48c7-8f1d-67f03143d741	1489	1374	97.649	Psychrobacter alimentarius strain JG-100 16S ribosomal RNA, partial sequence	Psychrobacter alimentarius
f82207b7-250a-48c7-8f1d-67f03143d741	1481	1345	97.097	Psychrobacter vallis strain CMS 39 16S ribosomal RNA, partial sequence	Psychrobacter vallis
f82207b7-250a-48c7-8f1d-67f03143d741	1481	1330	96.759	Psychrobacter aquaticus strain CMS 56 16S ribosomal RNA, partial sequence	Psychrobacter aquaticus
f82207b7-250a-48c7-8f1d-67f03143d741	1505	1324	96.213	Psychrobacter frigidicola strain DSM 12411 16S ribosomal RNA, partial sequence	Psychrobacter frigidicola
f82207b7-250a-48c7-8f1d-67f03143d741	1505	1315	96.013	Psychrobacter adeliensis strain SJ 14 16S ribosomal RNA, partial sequence	Psychrobacter adeliensis
f82207b7-250a-48c7-8f1d-67f03143d741	1502	1310	95.939	Psychrobacter faecalis strain Iso-46 16S ribosomal RNA, partial sequence	Psychrobacter faecalis
f82207b7-250a-48c7-8f1d-67f03143d741	1479	1310	96.349	Psychrobacter maritimus strain Pi2-20 16S ribosomal RNA, partial sequence	Psychrobacter maritimus
f82207b7-250a-48c7-8f1d-67f03143d741	1505	1309	95.880	Psychrobacter adeliensis strain DSM 15333 16S ribosomal RNA, partial sequence	Psychrobacter adeliensis
f82207b7-250a-48c7-8f1d-67f03143d741	1488	1308	96.169	Psychrobacter namhaensis strain SW-242 16S ribosomal RNA, partial sequence	Psychrobacter namhaensis
f82207b7-250a-48c7-8f1d-67f03143d741	1502	1308	95.872	Psychrobacter nivimaris strain 88/2-7 16S ribosomal RNA, partial sequence	Psychrobacter nivimaris
f82207b7-250a-48c7-8f1d-67f03143d741	1507	1304	95.687	Psychrobacter cryohalolentis K5 16S ribosomal RNA, partial sequence	Psychrobacter cryohalolentis K5
f82207b7-250a-48c7-8f1d-67f03143d741	1505	1303	95.748	Psychrobacter adeliensis strain DSM 15333 16S ribosomal RNA, partial sequence	Psychrobacter adeliensis
f82207b7-250a-48c7-8f1d-67f03143d741	1483	1298	96.022	Psychrobacter piscatorii strain T-3-2 16S ribosomal RNA, partial sequence	Psychrobacter piscatorii
f82207b7-250a-48c7-8f1d-67f03143d741	1507	1295	95.488	Psychrobacter arcticus strain 273-4 16S ribosomal RNA, partial sequence	Psychrobacter arcticus
f82207b7-250a-48c7-8f1d-67f03143d741	1497	1295	95.725	Psychrobacter glacincola strain DSM 12194 16S ribosomal RNA, partial sequence	Psychrobacter glacincola
f82207b7-250a-48c7-8f1d-67f03143d741	1474	1294	96.133	Psychrobacter pulmonis strain CCUG 46240 16S ribosomal RNA, partial sequence	Psychrobacter pulmonis
f82207b7-250a-48c7-8f1d-67f03143d741	1487	1293	95.831	Psychrobacter luti strain NF11 16S ribosomal RNA, partial sequence	Psychrobacter luti
f82207b7-250a-48c7-8f1d-67f03143d741	1503	1291	95.476	Psychrobacter adeliensis strain DSM 15333 16S ribosomal RNA, partial sequence	Psychrobacter adeliensis
f82207b7-250a-48c7-8f1d-67f03143d741	1507	1288	95.355	Psychrobacter fulvigenes strain KC 40 16S ribosomal RNA, partial sequence	Psychrobacter fulvigenes
f82207b7-250a-48c7-8f1d-67f03143d741	1505	1286	95.349	Psychrobacter fjordensis strain BSw21516B 16S ribosomal RNA, partial sequence	Psychrobacter fjordensis
f82207b7-250a-48c7-8f1d-67f03143d741	1487	1284	95.629	Psychrobacter cryohalolentis K5 16S ribosomal RNA, partial sequence	Psychrobacter cryohalolentis K5
f82207b7-250a-48c7-8f1d-67f03143d741	1504	1283	95.279	Psychrobacter glaciei strain BIc20019 16S ribosomal RNA, partial sequence	Psychrobacter glaciei
f82207b7-250a-48c7-8f1d-67f03143d741	1505	1283	95.282	Psychrobacter urativorans strain DSM 14009 16S ribosomal RNA, partial sequence	Psychrobacter urativorans
f82207b7-250a-48c7-8f1d-67f03143d741	1473	1283	95.927	Psychrobacter faecalis strain DSM 14664 16S ribosomal RNA, partial sequence	Psychrobacter faecalis
f82207b7-250a-48c7-8f1d-67f03143d741	1487	1281	95.562	Psychrobacter aquimaris strain SW-210 16S ribosomal RNA, partial sequence	Psychrobacter aquimaris
f82207b7-250a-48c7-8f1d-67f03143d741	1482	1279	95.614	Psychrobacter muriicola strain 2pS 16S ribosomal RNA, partial sequence	Psychrobacter muriicola
f82207b7-250a-48c7-8f1d-67f03143d741	1503	1276	95.143	Psychrobacter adeliensis strain DSM 15333 16S ribosomal RNA, partial sequence	Psychrobacter adeliensis
