1	700	635	97.143	Vibrio parahaemolyticus strain 20140829008-1 chromosome II, complete sequence	Vibrio parahaemolyticus strain 20140829008-1 chromosome II, complete sequence
1	700	635	97.143	Vibrio parahaemolyticus strain 20140722001-1 chromosome II, complete sequence	Vibrio parahaemolyticus strain 20140722001-1 chromosome II, complete sequence
1	700	635	97.143	Vibrio parahaemolyticus strain 20140624012-1 chromosome II, complete sequence	Vibrio parahaemolyticus strain 20140624012-1 chromosome II, complete sequence
1	700	632	97.000	Vibrio parahaemolyticus strain Colony559 chromosome 2	Vibrio parahaemolyticus strain Colony559 chromosome 2
1	700	632	97.000	Vibrio parahaemolyticus strain BTXS2 chromosome 2, complete sequence	Vibrio parahaemolyticus strain BTXS2 chromosome 2, complete sequence
1	694	626	96.974	Vibrio parahaemolyticus strain 2013V-1136 chromosome 2, complete sequence	Vibrio parahaemolyticus strain 2013V-1136 chromosome 2, complete sequence
1	694	626	96.974	Vibrio parahaemolyticus strain AM43962 chromosome 2, complete sequence	Vibrio parahaemolyticus strain AM43962 chromosome 2, complete sequence
1	694	626	96.974	Vibrio parahaemolyticus strain D3112 chromosome 2, complete sequence	Vibrio parahaemolyticus strain D3112 chromosome 2, complete sequence
1	700	626	96.714	Vibrio parahaemolyticus isolate R13 chromosome 2, complete sequence	Vibrio parahaemolyticus isolate R13 chromosome 2, complete sequence
1	694	626	96.974	Vibrio parahaemolyticus strain R14 chromosome 2, complete sequence	Vibrio parahaemolyticus strain R14 chromosome 2, complete sequence
1	700	626	96.714	Vibrio parahaemolyticus strain FORC_004 chromosome 2, complete sequence	Vibrio parahaemolyticus strain FORC_004 chromosome 2, complete sequence
1	700	626	96.714	Vibrio parahaemolyticus strain Colony52 chromosome 2	Vibrio parahaemolyticus strain Colony52 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony97 chromosome 2	Vibrio parahaemolyticus strain Colony97 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony35 chromosome 2	Vibrio parahaemolyticus strain Colony35 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony95 chromosome 2	Vibrio parahaemolyticus strain Colony95 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony38 chromosome 2	Vibrio parahaemolyticus strain Colony38 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony91 chromosome 2	Vibrio parahaemolyticus strain Colony91 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony12 chromosome 2	Vibrio parahaemolyticus strain Colony12 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony39 chromosome 2	Vibrio parahaemolyticus strain Colony39 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony18 chromosome 2	Vibrio parahaemolyticus strain Colony18 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony83 chromosome 2	Vibrio parahaemolyticus strain Colony83 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony19 chromosome 2	Vibrio parahaemolyticus strain Colony19 chromosome 2
1	700	626	96.714	Vibrio parahaemolyticus strain Colony28 chromosome 2	Vibrio parahaemolyticus strain Colony28 chromosome 2
